domain,label,class
frasesdecanciones.net,normal.alexa,0
joystickcloud.com,normal.alexa,0
rhydianroberts.com,normal.alexa,0
oernussgtliymnim.com,,1
maquiagempefeita.blogspot.com.br,normal.alexa,0
permira.com,normal.alexa,0
sameha.info,normal.alexa,0
fotojet.com,normal.alexa,0
lapensiuni.ro,normal.alexa,0
hpbovmsbnfqwriyn.eu,,1
qmfrhdrrbsigobukyx.so,,1
dcmjgif.eu,,1
hi-check.com,normal.alexa,0
ecpshcfg.ga,,1
rgaufv.ru,,1
1qpwpy01sed7du1ggxem1992ysa.biz,dga.gameover,1
myenglishteacher.net,normal.alexa,0
jvzlwbvwebzcyinto.net,,1
objectifgard.com,normal.alexa,0
1nsjwrk17jqqjy3b7du6ckuoqd.org,,1
ucbnzroav.dynserv.com,,1
xnxx-zoo.com,normal.alexa,0
esportstore.com,normal.alexa,0
eqdfmvemkjdpbjvcmvgofnzdwlr.ru,,1
lhsuhafox.org,,1
kazrkkpoctlrwosko.net,,1
cjr5dzja1m15.com,,1
ntexplotreredo.info,,1
winstonmarriot.co.uk,normal.alexa,0
digitalnest.in,normal.alexa,0
aoioli.com,,1
lighthouseagency.wordpress.com,normal.alexa,0
007trave.com,normal.alexa,0
peooktha.net,,1
aqanduhiriepfu.ddns.net,,1
shmyykbjknaiqqnrh.net,,1
qngn3lujyfsbi8wfy0avslo.ddns.net,,1
shophanhphuc.com,normal.alexa,0
xoqficcu.ru,,1
souqkkokesisickc.org,,1
skechersyd.tmall.com,normal.alexa,0
pequelia.es,normal.alexa,0
viva.ee,normal.alexa,0
hszhfnuzrlpikjd.biz,,1
thdlvinskycattederifg.com,,1
bliss-athome.com,normal.alexa,0
y744eba512b0cfad0c7a7882f135639076.hk,,1
toplintas.com,normal.alexa,0
qirwuphe.ru,,1
vivnetworks.com,normal.alexa,0
6uu46ooefchd8n673y.cn,,1
kugusueukoawaccw.org,,1
pujeguq.com,,1
housemaxonline.com,normal.alexa,0
gquouioewykyagms.org,,1
bsihnfaxm.com,,1
cyuwgwgshaoadv.cc,,1
mgcxerionirkutskagl.com,,1
biografipahlawan.com,normal.alexa,0
bioportfolio.com,normal.alexa,0
herocycles.com,normal.alexa,0
youthedesigner.com,normal.alexa,0
thosebring.net,,1
mmeemlwvipll.com,,1
yonexusa.com,normal.alexa,0
rauqiwbiedsu.ddns.net,,1
ecentrichr.com,normal.alexa,0
mjkqqeuapuubxwiwljfx.com,,1
rtrk.cl,normal.alexa,0
y4whk8sbk87hu4qnq4k.ddns.net,,1
vcuopd.net,,1
aj0tuvo1anwl.net,,1
kcwbmdwpiagxfzh.com,,1
zoommovie.com,normal.alexa,0
10qh36wh99aev1dckyqexnben6.org,,1
lmtstore.com,normal.alexa,0
rentabilisense.com,normal.alexa,0
inspirationalquotesoftheday.com,normal.alexa,0
internazionale.fr,normal.alexa,0
travelshoreafrica.com,normal.alexa,0
whuvkdyb05mv.top,,1
lezrayfjquzz.info,,1
boxitvn.blogspot.com,normal.alexa,0
drogariasnissei.com.br,normal.alexa,0
hobbybrouwen.nl,normal.alexa,0
gqkecyegesuukece.org,dga.ramdo,1
discodog.fr,normal.alexa,0
145zxwcsohmzczh8onobu272.com,,1
genocidewatch.net,normal.alexa,0
plnditamhehwghqrgrswcwsroyl.ru,,1
uj12tex1qmsbvdeqwb.biz,dga.rovnix,1
gradshop.com,normal.alexa,0
huwpupo.se,,1
itugo.com,normal.alexa,0
8398cbe2ddb1848cae6d0526424f4f25.info,,1
pegi.info,normal.alexa,0
rtbads.com,normal.alexa,0
tahmeel.com,normal.alexa,0
qxnprzeehisb.info,,1
meatworld.net,,1
1fj94y41s5l3vz1ca23fvojbizc.biz,dga.post,1
sauna-mixte.fr,normal.alexa,0
trafficplanethosting.com,normal.alexa,0
akcunecoevoget.ddns.net,,1
yukqbteklw.com,,1
ultramarathonrunning.com,normal.alexa,0
laulumaa.fi,normal.alexa,0
do100verno.com,normal.alexa,0
rastabanana.com,normal.alexa,0
sportsgeekery.com,normal.alexa,0
oqddosjyqnoi.biz,dga.tinba,1
planetsocial.de,normal.alexa,0
stylevista.in,normal.alexa,0
uscounties.com,normal.alexa,0
mabaonline.com,normal.alexa,0
ghhpiifjyult.com,,1
ride.ch,normal.alexa,0
gonedigital.net,normal.alexa,0
wangpan007.com,normal.alexa,0
ourpcsolution.blogspot.in,normal.alexa,0
buildwinjs.com,normal.alexa,0
socialflirt.com,normal.alexa,0
vdrgidablyhoosieraw.com,,1
yukseltenseo.com,normal.alexa,0
52enxrajr7gft2g8t3.net,,1
tuwpzjforxdylfppzxqwuohy.ru,,1
ketelone.com,normal.alexa,0
miiee.com,normal.alexa,0
ogafugvee.ddns.net,,1
cmsfmkiq.in,,1
gotobestdeals.com,normal.alexa,0
joinjonochs.com,normal.alexa,0
zz5m7sk6cdpvi2fb6va57w4f.org,,1
emeygquswogemmke.org,,1
sdqrofgnoxo.com,,1
vagunforum.net,normal.alexa,0
tzrfilumuquufckxwkmyf.org,,1
oslpccovbbjtsn.su,,1
yznztj1cj0wf61yhaxq61lde5gm.org,,1
scxgzcvmzpnkjyluoqpjnrlvg.ru,,1
lrqckwk.com,,1
medianet.at,normal.alexa,0
fmlccvbyjcvn.com,,1
planshetcomp.ru,normal.alexa,0
hyggeandwest.com,normal.alexa,0
workathomenoscams.com,normal.alexa,0
gaijinhunter.tumblr.com,normal.alexa,0
backlinkci.net,normal.alexa,0
myyehyga.cc,,1
mdmedia.id,normal.alexa,0
nordthueringer-volksbank.de,normal.alexa,0
weddingcode.com,normal.alexa,0
uwudmvaitzsii1.net,,1
dpguvccioykxvdotw.tw,,1
sxq2e0wfst7rkbu.ddns.net,,1
alexboys.com,normal.alexa,0
gov.cz,normal.alexa,0
tjaswyq.info,,1
1a8zdgaojyws319bj1mqowg61e.com,,1
nabadv.com,normal.alexa,0
incontrierotici.it,normal.alexa,0
prink.es,normal.alexa,0
lqepblcufgmadu.com,,1
hacidiz.info,,1
cyfcmmedeei.com,,1
fqpwnmnytpiwsof.com,,1
globalknowledge.ae,normal.alexa,0
cantho30s.com,normal.alexa,0
prifhjstv.mooo.com,,1
azjznmee.biz,,1
watchonlinebollymovies.blogspot.com,normal.alexa,0
ixirwpbodxbj.ru,,1
softexter.com,normal.alexa,0
mfodypgzrht.org,,1
rhntiwe.info,,1
buddypunch.com,normal.alexa,0
doe.gov.my,normal.alexa,0
dgmfsncshgww.com,,1
k5upejxljaa1x068pifeaqtw.com,dga.post,1
nrpvzoinmrwnfpuw.biz,,1
sexbookvenezuela.com,normal.alexa,0
fivediamonds.com.br,normal.alexa,0
ibdazlukfqibfizxnbpxofu.ru,,1
kock1.net,normal.alexa,0
bankujesz-zyskujesz.pl,normal.alexa,0
lnrwsatformalisticirekb.com,dga.banjori,1
uyclalsyc.info,,1
jmbxrcynaqlk.info,,1
ylthtlwpzsl.net,,1
whiticar.com,normal.alexa,0
loanmade.com,normal.alexa,0
0e0ce3d8275fd0dbde2cac153a0b7a4b.cz.cc,,1
ijmjahw6itoj1rgbkfcxg2c.ddns.net,,1
perimetrik.de,normal.alexa,0
developer1.ir,normal.alexa,0
xyaymvdyz.info,,1
saatgazetesi.com,normal.alexa,0
acsnwmsedneaqabcga.com,,1
civilnet.am,normal.alexa,0
uzrpbxyj.net,,1
160ltopv5rp631wfkwn21wqihhm.com,dga.post,1
overmediacast.com,normal.alexa,0
ysemsekkea.org,,1
v4tebolero9a.org,,1
v406c477bf73ecc30b625ca40ffc627a5f.so,,1
coidobhiursac.ddns.net,,1
odwlogistics.com,normal.alexa,0
8cc4888e36d3cd690730eda85e48dbc8.org,,1
ceqtktovqohxcfeovnbtqcouc.com,,1
miburo666.info,normal.alexa,0
5r1kez7p0b34d0bp.biz,,1
rapidppt.com,normal.alexa,0
krggqnoltndntlzr.net,,1
ohbdbc.com,,1
ullxgvewvpvipolu.info,,1
pmhbruucn.se,,1
jpedi3565hirpd7wrm.ru,,1
techdive.uk,normal.alexa,0
mines.com.my,normal.alexa,0
gilanpdc.ir,normal.alexa,0
xbakqrqigwt.xyz,,1
wollendekbed.com,normal.alexa,0
1avjcgcq8ft0hjl9eonweoc08.net,,1
tutireceptek.hu,normal.alexa,0
tennisnews.gr,normal.alexa,0
reginout.net,normal.alexa,0
ecosmart.pl,normal.alexa,0
opmfniiikzvtel.org,,1
obsesickshit.com,,1
shell.co.za,normal.alexa,0
irtxxlzpbagyirqklojdqkylmj.ru,,1
kafirm.pl,normal.alexa,0
womenyoushouldknow.net,normal.alexa,0
g0a4g8wrsbu8uf30u21.ddns.net,,1
prntscr.com,normal.alexa,0
kctevpradbgcs.org,dga.cryptolocker,1
weddingchicks.com,normal.alexa,0
seivadasflores.com.br,normal.alexa,0
rekryteringsmyndigheten.se,normal.alexa,0
qfv1jv155qiitib8ifk1tki4gj.net,,1
jmmolybxicz8r.com,,1
dramacrazy.net,normal.alexa,0
jzxktfj.info,,1
prtimes.co.jp,normal.alexa,0
navuvecy.info,,1
ubuy.com.sa,normal.alexa,0
kpnpteqdslcslujq.com,,1
wxcjqzqp.top,,1
1jfgw3v80lll31cw2kslw8oxly.org,dga.gameover,1
zesgfc.net,,1
kimberleighanastasia.net,,1
rwfrhtkqwrwlqhjwg.biz,dga.qakbot,1
auto-ici.fr,normal.alexa,0
zpqbvbbccb.com,,1
fpzqn.info,,1
crqqhbr.org,,1
lloydselectronica.com,normal.alexa,0
atzbwdyhxwwofvc.com,,1
enricosecci.net,normal.alexa,0
mgcsbh.tk,normal.alexa,0
aqazrrwmzrvrvoshpi.com,,1
informaticadicas.com.br,normal.alexa,0
ahivmv5xkf3216g.ddns.net,,1
wentoctober.net,,1
t2rdl2one1q.net,,1
ppxjtnocvtgpeybf.tw,,1
3trcwa62os3ogz7qdi.com,,1
jemzrpmvneltxtmu.info,,1
pdffiller.com,normal.alexa,0
kotabogor.go.id,normal.alexa,0
olreredotntexp.info,,1
cellulitis.su,normal.alexa,0
politas.jp,normal.alexa,0
ayergetadobeflaslhp.co.uk,,1
mkfcleabafcckacd.website,,1
jiajiao110.com.cn,normal.alexa,0
anadarko.com,normal.alexa,0
vsyaotdelka.ru,normal.alexa,0
opicle.com,normal.alexa,0
bitcoin.org,normal.alexa,0
adlabsnetworks.com,normal.alexa,0
hhwwviikgnqcqdh.tw,,1
aqnoxxdwhfkh.org,,1
pjttgopupv.net,,1
oxrdpheoxvkcjcaic.net,,1
p2ric.org,normal.alexa,0
quizity.com,normal.alexa,0
nostalgieimkinderzimmer.de,normal.alexa,0
ciribmfj.info,,1
ijlmgon.eu,,1
autoteile-supermarkt.de,normal.alexa,0
nnrqohcxu1oinls.com,,1
seocloudcontent.com,normal.alexa,0
devletli.com,normal.alexa,0
gfrlbgyqtqvk.com,dga.ramnit,1
14khorshid.ir,normal.alexa,0
lpvoguwouorkrchuhtnjhba.com,,1
benefitsapplication.com,normal.alexa,0
jinzai-bank.net,normal.alexa,0
tut-bonus.ru,normal.alexa,0
scentofslave.tumblr.com,normal.alexa,0
e6knw6en3rmbkxw.ddns.net,,1
ebara.co.jp,normal.alexa,0
amelioretasante.com,normal.alexa,0
bristol-hlc.org.uk,normal.alexa,0
ocwsqgmygkqwqoye.org,,1
vxtgminal.com,,1
jrflnkcv.info,,1
ewucoiaq.com,,1
jouermaintenant.fr,normal.alexa,0
workhorseirons.com,normal.alexa,0
ebooksmedical.com,normal.alexa,0
wanderbat.com,normal.alexa,0
mpknvz.com,,1
1syxryf3nk5rd6j894d1vwtd7x.org,,1
chandpurtimes.com,normal.alexa,0
railroad24.de,normal.alexa,0
wpfilebase.com,normal.alexa,0
wdfiles.com,normal.alexa,0
nlftyqpxhqdcvs.org,dga.cryptolocker,1
sniffmouse.com,normal.alexa,0
olderyitwpmotkw.com,,1
lamejorimprenta.es,normal.alexa,0
razjtlubh.info,,1
eigcesqaqiseygos.org,,1
apiic.in,normal.alexa,0
sweetnote.com,normal.alexa,0
justcite.com,normal.alexa,0
ultimatewebinarblueprint.com,normal.alexa,0
xinfadi.com.cn,normal.alexa,0
dert7beni.com,normal.alexa,0
67sxqjg1i70h.org,,1
mycity-web.com,normal.alexa,0
rknajmvqdez.top,,1
slipwasher.com,,1
switchcraft.com,normal.alexa,0
ljqbtw.net,,1
canvs.in,normal.alexa,0
dramaheight.com,normal.alexa,0
3ns6mhelydmha2gd1d7.ddns.net,,1
taniran.com,normal.alexa,0
serkankacan.com,normal.alexa,0
giftishow.co.kr,normal.alexa,0
b7m8fu2w5s74yimymsm4yxu5.com,,1
ejpbgl.com,,1
bmw-avtodom.ru,normal.alexa,0
toshiba.nl,normal.alexa,0
ftsmaaijaledydbqpotble.info,,1
pm-proj.com,normal.alexa,0
pmmuyogsgfpb.com,dga.tinba,1
elshabab.org,normal.alexa,0
t489qki6d4j7so8n1l1x7ewmu.org,,1
fdecwx.name,,1
dacuxqtdy.org,,1
ujcpef0pu7g9.org,,1
grgyhtqrjk.net,,1
ilplakalari.com,normal.alexa,0
michiganawesome.com,normal.alexa,0
gthankyou.com,normal.alexa,0
bygfktpcsuyidumdp.net,,1
google.mv,normal.alexa,0
arivetook.net,,1
oqqvplefrostbitecycz.com,,1
mmvgxcfstoh.net,,1
vpweb.in,normal.alexa,0
mesca.com,normal.alexa,0
vovatgea.ru,,1
itocp.com,normal.alexa,0
vwcyytrlzpyaj1.com,,1
openpaymentsanalytics.com,normal.alexa,0
activate-promo.com,normal.alexa,0
hrktqrg.net,,1
joesnewbalanceoutlet.com,normal.alexa,0
ncdczgfo.top,,1
41fp.com,normal.alexa,0
leqppfbafallfuwcexdyxmzu.org,,1
seipp.com,normal.alexa,0
playerpage4027.info,normal.alexa,0
football.at,normal.alexa,0
emegteichuud.mn,normal.alexa,0
hcphes.org,normal.alexa,0
roomteach.net,,1
kraftpixel.in,normal.alexa,0
iseeyousee.xyz,normal.alexa,0
freedom-shop.tw,normal.alexa,0
1cnmedia.com,normal.alexa,0
freefunchristmas.com,normal.alexa,0
arkadaslikscripti.net,normal.alexa,0
espacessaada.com,normal.alexa,0
shahbasoft.com,normal.alexa,0
dabaabmbloedcbnd.org,,1
equalexchange.coop,normal.alexa,0
esumsoft.com,normal.alexa,0
godexeh.info,,1
autoline.com.pl,normal.alexa,0
decorheaven.co.nz,normal.alexa,0
beautify.nl,normal.alexa,0
cinemaniahdd.com,normal.alexa,0
btdd2015.com,normal.alexa,0
1w3v5nx5cnxl2i99.ru,,1
iz14xpqxck.net,,1
chdedhnielir.net,,1
uujxlfoqav.click,,1
mapply.net,normal.alexa,0
tariffe.it,normal.alexa,0
2000adonline.com,normal.alexa,0
uri.pl,normal.alexa,0
locyqdx.eu,,1
qmypnb.biz,,1
mpoisk.ru,normal.alexa,0
dfegleasuredehydratorysagp.com,,1
romagnolaprofumi.com,normal.alexa,0
torrgetbtpe.org,normal.alexa,0
gpgsdwzo.info,,1
netafull.net,normal.alexa,0
jocksandstilettojill.com,normal.alexa,0
gulfmagazine.com,normal.alexa,0
flashplayeregetadob.co.uk,,1
twkpwfuecvvzcincq.net,,1
amknusyfdwyekdtgy.pw,,1
asknguyen.com,normal.alexa,0
attractivemoms.com,normal.alexa,0
vbaeodbqvlqivxigmgx.com,,1
rozmodel.rozblog.com,normal.alexa,0
chemicalguys.com,normal.alexa,0
melaxy.com,normal.alexa,0
el783rkb743ny0s2avq.ddns.net,,1
gb177.com,normal.alexa,0
webonev.net,,1
ritsin.com,normal.alexa,0
tuwozgap.ru,dga.pushdo,1
gazlux.ru,normal.alexa,0
kiadehluow.ddns.net,,1
zaxbys.com,normal.alexa,0
reply2colin.com,normal.alexa,0
1cr9xyk1n1u6r5xu7syt1xaqjjy.org,,1
ahjnwkdsholapet.com,,1
pkuolmhhpbescukc.eu,,1
qzoo.jp,normal.alexa,0
countdiscount.info,normal.alexa,0
123aqar.com,normal.alexa,0
lpnpnpfkouuinyvtuhya.com,,1
1uv4qk41sooxjt1ms7gmk1lpk9kz.com,,1
nvesto.com,normal.alexa,0
granadacf.es,normal.alexa,0
ariete.net,normal.alexa,0
fuckandporn.com,normal.alexa,0
adevoroxafg.top,,1
qvyhpyyo.dyndns.org,,1
indemb-oman.org,normal.alexa,0
bangerhead.se,normal.alexa,0
jv5wniudcxwqr279.com,,1
lfk-gimnastika.com,normal.alexa,0
8d8d3ed8a0750d87602c92d7540480a4.info,,1
tgvyrxlcqokkatuw.eu,,1
fortruss.blogspot.ro,normal.alexa,0
listening-quran-kareem.com,normal.alexa,0
thienhungphat.com,normal.alexa,0
5fm4cf32ex14oby8shi.ddns.net,,1
jvyliologistbikerepil.com,dga.banjori,1
ofoghetaze.com,normal.alexa,0
naseobce.sk,normal.alexa,0
avejobezs.org,,1
kamera-gue.web.id,normal.alexa,0
aquatech.com,normal.alexa,0
iuuymjvkptto.com,,1
impactradius.net,normal.alexa,0
videosgratis.tv,normal.alexa,0
nadmbyyyucug.ru,,1
pnuna.com,normal.alexa,0
ztypuzafrn.com,,1
cboki.com,normal.alexa,0
sjqrrfbldqtupdpcc.net,,1
jfvyutkrcrqv.com,,1
sicurinform.it,normal.alexa,0
cinemotions.com,normal.alexa,0
fbinaebcpvrcmcntgnk.net,,1
hzfdfedrgv.com,,1
oyeah.com.cn,normal.alexa,0
phasetreeperformprogramblame.com,,1
dlmkkqflfupwdcprgy.im,,1
lapetite-pologne.com,normal.alexa,0
fbc0l71l963b916ln6jjiltxei.net,,1
pingselfie.com,normal.alexa,0
essaydiscoverpartnerpull.com,,1
ashuora.ir,normal.alexa,0
tu-app.net,normal.alexa,0
rokus-klett.si,normal.alexa,0
bjflzcutjt71mb7u.ru,,1
zjtjjwmspqjwjrm.org,,1
qhbprbsqnchvi.info,,1
lykygor.com,,1
ojynjkjwjxmuuutk.com,,1
churchillcentral.com,normal.alexa,0
fsvndobutfox.net,,1
cignal.tv,normal.alexa,0
adroitdirectory.com,normal.alexa,0
15kityc4ya2mjrwu1vcztbsej.net,,1
omaporno.pics,normal.alexa,0
dtquest.org,normal.alexa,0
limedica.com,normal.alexa,0
tealokge.ru,,1
sitemapdoc.com,normal.alexa,0
hdwallpaperup.com,normal.alexa,0
e2f2af87740867a7c061c76c585dc901.co.cc,,1
gqcuyxcihqvodytkbaqvgqrwuo.ru,,1
bxwfllaabettingk.com,,1
fwrddne.ki,,1
mongolcnr.cn,normal.alexa,0
aadhocc.net,normal.alexa,0
joomlage.com,normal.alexa,0
humanrights.ca,normal.alexa,0
facesittinggirls.com,normal.alexa,0
ns1.dnsfor1.biz,,1
knm.nl,normal.alexa,0
bwcdhia.eu,,1
crhokelthxrcxho.biz,,1
communicationcrashmailprint.com,dga.matsnu,1
polimernews.com,normal.alexa,0
lgvipclub.ir,normal.alexa,0
mtkrikjuqawb.xyz,,1
contributieuropa.com,normal.alexa,0
bivoteng.top,,1
kyuqwgaueucgcaim.org,,1
avianca.com.co,normal.alexa,0
tiu.ru,normal.alexa,0
gtahungary.hu,normal.alexa,0
genius-myanmar.com,normal.alexa,0
jsbackup.net,normal.alexa,0
klfpojbzjl.org,,1
ylepkanerkxhxx.tw,,1
mizbanfa.net,normal.alexa,0
2tarke.com,normal.alexa,0
stitcher.com,normal.alexa,0
freeuaedirectory.com,normal.alexa,0
a1webdirectory.com,normal.alexa,0
wuopqs.biz,,1
internationalsourcingexpo.com,normal.alexa,0
j1hb2ivprvtzgivvio.net,,1
2e0b7640901c0249c989043dc9f07dec.cz.cc,,1
sexkontaktelive.com,normal.alexa,0
acsixeinnomuc.ddns.net,,1
tcar.us,normal.alexa,0
solnechnogorsk.net,normal.alexa,0
wp-types.com,normal.alexa,0
0e0ce3d8275fd0dbde2cac153a0b7a4b.co.cc,,1
soaphoto.com,normal.alexa,0
heathost.xyz,normal.alexa,0
finaldraft.com,normal.alexa,0
sandwell.gov.uk,normal.alexa,0
digitalpound.net,normal.alexa,0
reviewaveragebendcomeignore.com,,1
20fvfk1pl41cu1oi484119ng6x4.net,,1
soundclub.co.kr,normal.alexa,0
i18nqa.com,normal.alexa,0
cposcience.com,normal.alexa,0
mvkaka.net,,1
pro-sprzet.pl,normal.alexa,0
1707mpp1d39yg11x78e04of4l1d.net,,1
allyours.com,normal.alexa,0
mytradingbuddy.com,normal.alexa,0
201980.com,normal.alexa,0
margarethowell.jp,normal.alexa,0
sio14h11qu9nc.net,,1
riatomsk.ru,normal.alexa,0
5hosting.com,normal.alexa,0
beflashoplayergetad.net,,1
eazdpartbulkyf.com,,1
generation-deguisement.fr,normal.alexa,0
dcunrmmjnglm.com,dga.tinba,1
mybensite.com,normal.alexa,0
hdn9lw1dv1pt8xli1rn105zucv.com,,1
turiba.lv,normal.alexa,0
hachimantai.lg.jp,normal.alexa,0
rootfront.com,normal.alexa,0
nnmnowgfevsx.com,dga.tinba,1
loavwiinuboqp.ddns.net,,1
prekladac.net,normal.alexa,0
assessfirst.com,normal.alexa,0
kfmtrluurydjfxh.info,,1
quibustrainings.com,normal.alexa,0
ahtnktssj.xyz,,1
freetarot.com,normal.alexa,0
55ifpuec235ro2q.com,,1
ssbtips4u.com,normal.alexa,0
dptmhy.com,dga.nymaim,1
e2ur72ajkdifg2yr7ne.ddns.net,,1
mbqqdyngovqclhamb.tw,,1
metin2.es,normal.alexa,0
106xz7o1qcuh2eo6h4emh63t8.org,,1
sredstva.ru,normal.alexa,0
koksa.org,normal.alexa,0
chditguzeckk.mooo.com,,1
ylmtpskpcftvrn.com,,1
inspire01.com,normal.alexa,0
7xb1u4kgn1jvgdvct8.com,dga.rovnix,1
pooltipblackcashindicate.com,,1
silverspringdowntown.com,normal.alexa,0
usanashimiglazami.com,normal.alexa,0
planet-tachyon.com,normal.alexa,0
gdebctccxufe.com,dga.tinba,1
tuttoaffari.com,normal.alexa,0
ibs.re.kr,normal.alexa,0
sroaqcmhemvkjonqkdtydtij.ru,,1
unfollowers.com,normal.alexa,0
toaerodromio.gr,normal.alexa,0
megauplaod.org,normal.alexa,0
majira.co.tz,normal.alexa,0
weovsddacopu6l.com,,1
mymediacruncher.com,normal.alexa,0
cedtsryhpwcx.com,,1
bat-careers.com,normal.alexa,0
kmdebgcdxordxmyaf.net,,1
worldlibrary.net,normal.alexa,0
hbyymulrj.com,,1
career-city.com,normal.alexa,0
aaaogwcmaoeiqkkg.org,,1
womenspeaks.ru,normal.alexa,0
holifestival.org,normal.alexa,0
kpabsxq7o5mb.org,,1
jkxzfhic9h.com,,1
vopbosxkxblfahnkhhxjs.bit,,1
tadobefelashplayerg.co.uk,,1
lnbalkn.cc,,1
t6c0ei1v4cp1w1vry1is1nxnqsu.com,,1
ltrxal.info,,1
jjoareum.tumblr.com,normal.alexa,0
hthcclrbxnyvem.org,,1
bathbalanceearnattracthold.com,,1
datamaskin.biz,normal.alexa,0
herztravel.com,normal.alexa,0
1vjp9dv17xi2ok18hm7xf4iebbn.net,,1
ns1.dnsfor16.info,,1
ideaoffice.gr,normal.alexa,0
jxqdleasuredehydratorysagp.com,,1
davbsoiprm.com,,1
amblingbooks.com,normal.alexa,0
monitorconcernedpageprefer.com,,1
bocwykwkemkxjrgaj.net,,1
whetc.org.cn,normal.alexa,0
gdi4opm0w410abgnyjcfwjo.ddns.net,,1
divemagazine.co.uk,normal.alexa,0
eiosmsoqogamysyw.org,,1
marathi-kalnirnay-calendar.com,normal.alexa,0
bapeoqudnodovia.ddns.net,,1
pitnet.ru,normal.alexa,0
hubbli.com,normal.alexa,0
csc.com.cn,normal.alexa,0
1stvision.com,normal.alexa,0
expatads.com,normal.alexa,0
regionalrealty.ru,normal.alexa,0
ukpsc.gov.in,normal.alexa,0
fptrqccd.com,,1
nwknervwlmsnrj.in,,1
knqgiupxsth.dyndns.org,,1
oreredotnltexp.net,,1
stjrhxmejni.dynserv.com,,1
nodebeginner.org,normal.alexa,0
a40z04ti249ie3cy.cn,,1
thedailymenshealth.com,normal.alexa,0
fnbghexwluctv.ru,,1
iuoiwqgqmyciywis.org,,1
twogerion.net,normal.alexa,0
itsfred.kr,normal.alexa,0
axjttoppepgtvsxa.eu,,1
fkahkjfxyhqjpqgy.eu,,1
ns1.dnsfor16.biz,,1
adduivembiweuv.ddns.net,,1
dukkeqvmf.biz,,1
auditorio.com.mx,normal.alexa,0
patveaju.ru,,1
onlinesmslogin.com,normal.alexa,0
g16684f2ocgqr1a5.ru,,1
dousile.com,normal.alexa,0
ikitinohona.ddns.net,,1
a6632d0156adeb0a7830bf7a68b5cb66.cz.cc,,1
fountainheadschools.org,normal.alexa,0
ggqvhhjxpkycheml.eu,,1
bcjqfjz.info,,1
ykchexian.cn,normal.alexa,0
diabetiky.com,normal.alexa,0
cbgpabar.ru,,1
hmielggjmvgh.com,,1
rvvxunhtmdxlglflr.net,,1
kusgiyqageigwsqq.org,,1
kenyahockey.com,normal.alexa,0
aibjuqapdsdm.ru,,1
edeivhljyxorcizhmvdupvovlb.ru,,1
uniflexcircuits.com,normal.alexa,0
allebnfnabaccbbn.com,,1
tyriatwcccvcnlsd.eu,,1
texplorerednot.net,,1
e-saa.co.jp,normal.alexa,0
9ns5kf58omftfapb6e19bs1lb.biz,,1
yamaha-hifi.com,normal.alexa,0
businessandmortgage.com,normal.alexa,0
barcode-generator.de,normal.alexa,0
utrgv.edu,normal.alexa,0
gievesandhawkes.com,normal.alexa,0
g9926867d376ed0ee5979f9989d2f7bc43.cc,,1
itqivuompeci.ddns.net,,1
sammccauley.com,normal.alexa,0
worldartcommunity.com,normal.alexa,0
stmilitaria.com,normal.alexa,0
kweofftywvusyjkuhpj.com,,1
iejutaj.net,,1
aauxfykfi.net,,1
gtarockstar.net,normal.alexa,0
komum.com.br,normal.alexa,0
5cb50480374dbf72d5ef8dd325917346.org,,1
4tochki.ru,normal.alexa,0
tusooo.com,normal.alexa,0
akida.info,normal.alexa,0
shopgoodwill.com,normal.alexa,0
wascsenior.org,normal.alexa,0
weatherrealize.net,,1
ba7the.com,normal.alexa,0
rdpfinance.cc,normal.alexa,0
miadyxejmg.org,,1
ciimiewamaamekka.org,,1
crtvu.edu.cn,normal.alexa,0
kuwuwoeumgamwyoa.org,,1
seniorcarecompass.com,normal.alexa,0
vwdlpatcqxgvgm.in,,1
gzwqowjpk.dynserv.com,,1
2r09ansdmjsd.net,,1
takprosto.biz,normal.alexa,0
bbmarketing.com.br,normal.alexa,0
ambitionconcertadvancedexplain.com,,1
tabforacause.org,normal.alexa,0
ergetyadobeflashpla.net,,1
oksavingsbank.com,normal.alexa,0
jetcost.co.uk,normal.alexa,0
sgk.gen.tr,normal.alexa,0
torrentwow.net,normal.alexa,0
ncdosiuacwtvd.co.uk,,1
passionmatchapp.com,normal.alexa,0
6aakow4793d7000x.info,,1
8ghq1iq9lp8v1nvx8xx4naajm.net,dga.post,1
powiat-szamotuly.pl,normal.alexa,0
331e314ngmmeb21.com,,1
vfnlapqnxlhwmw.com,,1
theseenjoy.net,,1
flarestock.com,normal.alexa,0
cmyfinw.info,,1
aba-design.nl,normal.alexa,0
nusieubbbhrayavp.com,,1
chinahvac.com.cn,normal.alexa,0
wtk4y0y8u832kj3fanq.ddns.net,,1
icmi.com.au,normal.alexa,0
wazzia.com,normal.alexa,0
ns1.dnsfor8.info,,1
ecweb.jp,normal.alexa,0
mygangapur.com,normal.alexa,0
real-mum.tumblr.com,normal.alexa,0
malaysia.gov.my,normal.alexa,0
tcafkrp.info,,1
hxkhzq1q6ypk7qwvmqp3nclqd.com,,1
wxftxa.com,,1
modernadultery.tumblr.com,normal.alexa,0
mexicoarmado.com,normal.alexa,0
63e291b82e789c69aa430eedda89dc1d.info,,1
kodeks-pracy.org,normal.alexa,0
hppenbhgyxvu.com,,1
hentaiko.com,normal.alexa,0
imovelsjp.wordpress.com,normal.alexa,0
